Geneid	Chr	Start	End	Strand	Length	A1014C05.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1014C06.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C13.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C14.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C23.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C24.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam
"Y_RNA"	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr13;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrY	7982880;8796570;12024011;24625410;26593939;27255463;28422554;28881725;31503630;32286451;37737954;38950824;39881565;39944889;44153384;55484870;64066639;85435174;89020245;93027409;95125510;110764407;147420198;151841735;153726251;153785719;156484097;160326103;165662584;171253905;175022478;180519015;184171713;185257910;185630427;185634072;197685639;202914879;206747979;240154650;246426005;248594924;8328066;23370253;25877495;28985709;32639950;35195968;51107221;62211556;63338262;85264295;91261624;93385710;99791661;111446797;114490723;116452535;148330270;155120489;161699505;164854230;173808488;184315657;185251312;185266534;202070840;211803016;236060676;240341384;240698319;247294834;247996999;248029119;248045787;9615266;20480843;52297994;55286017;69334599;85367584;85434506;120192244;120651272;128067799;137715331;140992542;143897262;170783166;177194982;182828123;201423512;201808680;206025592;207687959;210265962;216351402;222404984;232828652;25008844;25697075;28927242;28972413;32945338;39128825;41857270;43620877;61928633;62726635;64834055;82307066;85332894;85460143;86159955;112579483;121040609;121603072;127829746;128350828;135810168;147472132;152284349;159536243;166123493;172558150;174264877;175176492;183022858;200863151;206701064;233379842;236153070;5086177;27547756;37093132;38125291;38505479;41868997;47931807;61739126;66003838;75964979;101628309;122025194;125528243;127202371;130914339;149094352;165122712;177120690;184086790;195419435;23273806;32045872;38014567;43472476;45903186;48288586;49270131;53290639;57493666;88431190;93967925;101458529;101647420;101955076;106515896;106688677;110727020;120210319;125516978;152449271;153607376;157153547;170244781;171439525;179097730;191641134;193624188;196202348;1683419;2615123;5426884;27223318;37699894;39710084;40826654;41303236;55501594;56818217;75662119;78632272;82944737;83636195;87743951;88330175;112755815;121329068;127028106;140779038;145149536;145958127;153266908;157768012;159064296;166312934;185415972;185709872;39441664;48153433;52786536;55412635;59533785;59833174;61906312;119947130;125362818;139200394;143309465;157064556;144086;10292040;16623003;17117575;23994501;41963867;57169107;79562744;96962655;98936637;128371098;132993098;139554899;149940029;172779981;173052451;173254189;179847034;2184709;10337276;23299154;24910593;31505683;32134737;55040846;65123368;72768701;78317035;79534852;100021803;108891436;132468146;132945341;140019491;150098405;154705625;160008444;168791497;176556703;180909837;7187581;10674657;16232230;17737457;18273164;25287431;30736303;30932617;31402151;31496688;31778816;41917415;79301962;85777638;87826172;89898282;99642236;121378796;128761716;130573995;135474503;151377999;20500174;29750370;31663287;34821444;36672837;38565949;47489066;67625355;75928512;89841328;99526096;106420705;106454827;108060817;119057879;128584389;134283091;136934764;137784373;149631436;4811187;6004282;6212637;7102572;14010668;23491791;36337666;40128120;67297652;69507509;72983359;73403787;75297989;75325958;75353884;75513024;87218610;92202242;100330776;103433460;103434993;115207893;115833272;116909876;136129979;140094696;156186121;10901977;37435114;43096731;73011143;73039084;73067230;73095356;74895815;75381637;76523604;77013582;77041646;77895879;90251922;99936609;102336868;129954692;138175044;140609846;146311719;151916330;152402779;13160177;14332554;38744019;41803348;65592730;66653468;74376686;97772312;99527825;100158867;100185137;113950885;42949387;47805078;68223317;70780913;80484588;94713714;96309220;100755098;102950466;105929125;12885320;19089592;32820260;33830977;37160136;37322258;61642382;65573383;67697075;83992931;93417854;97915689;109324684;110934405;112169285;127470874;130120805;133302469;21160234;33352787;34389942;41672294;61883639;70311606;71902454;75181519;96103078;109042385;114615454;127832634;133337727;6245730;13511205;31756041;34201978;36626014;37302999;68735719;72654164;73082493;73192222;88585637;90880039;92272146;92710498;97421194;100398351;100907173;101952604;110642677;124814957;10232610;17403507;21481715;32056745;37994862;52852606;60081740;68503151;72220751;73346935;74551391;103673157;121846599;124766195;130505105;2372637;10725902;24455910;34189173;40351563;43331260;64296036;72766003;77691649;88099994;93719602;93827621;108084912;118836009;118970497;118994559;129030458;3663814;3665163;8877416;8943379;13686549;33004249;33171380;33196546;47726893;47820199;70705166;75835214;75837543;76404139;108229502;6234344;7784402;7800360;7850716;31506302;32396049;32705402;33982464;38274447;44880867;49132852;50939926;51156867;54099190;60341823;92170352;93460724;96979527;100257687;113156762;113178422;114657948;120504570;123348998;127619335;7976258;8592475;17710933;27752873;42454719;48809910;50743567;62935700;70906916;88430441;93021605;95275769;95617688;101446824;104851823;107650788;108738483;112069103;112149359;122768098;130906837;133238454;28629793;20679410;22867817;31244760;38987280;50086981;55651533;58441843;63621759;67340067;88840164;90177221;99583016;102695387;22852615;28901235;31258607;49592235;49839400;50468396;51253932;63848260;66177526;67617301;69143851;72022406;72853223;73858060;73906315;77821029;89650792;93397138;103725727;30355435;30673749;33722491;34314727;43247679;44843611;45591983;50221887;51884555;52162750;59408904;64652887;65502740;66348275;69406440;100638362;32175246;37050827;39922781;43863892;44697332;45047102;48325557;48995911;49137761;56634037;64111457;64445129;74983273;90977207;99681785;178553;2131850;11315066;14275507;15150696;18397936;30471586;66550456;69191122;439296;14915456;16314111;27722283;30453996;47313026;58083067;68089448;68474552;68885575;74463887;86275428;4186325;17460443;28834721;36285311;38089398;45071441;47557412;48479096;50696643;59260747;62036832;62122319;69985985;75145669;75431989;76319375;77442108;81573489;82417225;7266054;7537095;19649493;30344502;32463373;32830218;38231042;40391231;46215069;49416743;50386144;60748939;61874083;62661620;64390157;67408773;75089861;2621089;2778940;9250109;12760716;21724118;23024595;23456370;24429504;31382316;62330811;8720033;9249648;23582015;32263134;34001697;49871554;50959266;56753225;78544094;6572955;12088244;36203346;36858226;40339058;52259075;56316523;11408771;38294543;40342328;46736311;49566671;56105415;450662;5964537;25214697;29575059;44344838;45004347;50563008;53544614;57311853;2453009;5113992;16670640;18113466;23457583;30309014;34384164;34526509;35853251;36668558;43451158;49920596;5597389;6365954;7092615;7474393;17576797;39344536;6223479;7663910;17527139;23432180;29139282;36986738;19045255;20481157;28303753;29758757;37013224;41045496;41747311;50669803;31230070;36440879;41065553;41648088;42762859;3641442;9874600;11116091;12054823;16912214;18395993;19985057;27252118;50171196;71491065;72284944;96701506;107901144;108676950;109744642;115139029;117914243;118569404;123857061;134142227;136571704;136816476;10061221;12149125;19376773;21872706;23782209;40492843;41316487;44401602;53324561;55582732;68361074;86019607;94178004;106426567;107202576;112661656;7341530	7982983;8796673;12024124;24625513;26594041;27255567;28422655;28881835;31503744;32286561;37738054;38950925;39881678;39944998;44153480;55484972;64066741;85435284;89020365;93027506;95125609;110764506;147420300;151841837;153726353;153785821;156484210;160326216;165662687;171254022;175022580;180519119;184171823;185258015;185630528;185634182;197685740;202914980;206748092;240154772;246426119;248595033;8328179;23370346;25877605;28985810;32640052;35196062;51107331;62211666;63338372;85264402;91261724;93385817;99791753;111446908;114490832;116452627;148330394;155120598;161699607;164854332;173808622;184315765;185251411;185266627;202070943;211803104;236060772;240341477;240698429;247294941;247997096;248029221;248045889;9615373;20480955;52298096;55286128;69334692;85367686;85434619;120192357;120651374;128067901;137715440;140992659;143897361;170783271;177195095;182828221;201423604;201808782;206025697;207688059;210266074;216351504;222405095;232828751;25008946;25697188;28927340;28972521;32945451;39128927;41857372;43620984;61928704;62726740;64834157;82307168;85332996;85460252;86160066;112579584;121040710;121603164;127829852;128350927;135810279;147472243;152284460;159536346;166123597;172558252;174264981;175176586;183022971;200863247;206701185;233379955;236153172;5086279;27547858;37093234;38125394;38505581;41869095;47931914;61739229;66003940;75965069;101628406;122025304;125528349;127202473;130914452;149094462;165122823;177120800;184086903;195419546;23273910;32045979;38014669;43472596;45903298;48288694;49270239;53290751;57493780;88431309;93968020;101458626;101647522;101955185;106515998;106688779;110727121;120210421;125517086;152449384;153607479;157153640;170244881;171439627;179097840;191641237;193624301;196202453;1683529;2615224;5426984;27223427;37700002;39710176;40826765;41303337;55501708;56818314;75662213;78632385;82944845;83636290;87744053;88330278;112755917;121329170;127028219;140779141;145149649;145958240;153267010;157768113;159064398;166313034;185416086;185709967;39441764;48153535;52786638;55412738;59533898;59833276;61906408;119947232;125362929;139200513;143309566;157064663;144197;10292148;16623095;17117686;23994603;41963969;57169209;79562846;96962757;98936747;128371212;132993200;139555001;149940131;172780094;173052555;173254290;179847130;2184820;10337386;23299262;24910695;31505788;32134834;55040945;65123474;72768811;78317137;79534954;100021906;108891546;132468257;132945454;140019592;150098506;154705727;160008546;168791610;176556805;180909927;7187686;10674768;16232330;17737556;18273266;25287533;30736414;30932709;31402250;31496790;31778905;41917526;79302066;85777755;87826285;89898392;99642347;121378898;128761808;130574112;135474609;151378099;20500276;29750472;31663401;34821542;36672944;38566055;47489170;67625464;75928625;89841424;99526205;106420807;106454929;108060930;119057974;128584491;134283193;136934866;137784486;149631549;4811289;6004385;6212740;7102681;14010763;23491893;36337778;40128232;67297754;69507622;72983461;73403889;75298091;75326060;75353986;75513126;87218712;92202334;100330877;103433561;103435092;115207996;115833373;116909964;136130081;140094792;156186223;10902074;37435216;43096844;73011245;73039186;73067332;73095458;74895917;75381739;76523706;77013684;77041748;77895992;90252020;99936711;102336970;129954794;138175136;140609955;146311822;151916418;152402893;13160279;14332663;38744131;41803450;65592820;66653576;74376793;97772425;99527927;100158975;100185239;113950998;42949495;47805179;68223402;70781008;80484683;94713812;96309322;100755195;102950564;105929238;12885417;19089688;32820350;33831078;37160237;37322371;61642494;65573495;67697187;83993033;93417966;97915796;109324796;110934507;112169397;127470987;130120912;133302563;21160336;33352874;34390051;41672406;61883751;70311701;71902550;75181621;96103174;109042487;114615568;127832743;133337824;6245831;13511313;31756136;34202074;36626138;37303109;68735823;72654276;73082595;73192325;88585733;90880179;92272250;92710608;97421307;100398446;100907280;101952704;110642785;124815062;10232712;17403620;21481817;32056839;37994975;52852703;60081854;68503259;72220852;73347048;74551493;103673265;121846700;124766297;130505201;2372750;10726004;24456010;34189275;40351672;43331356;64296138;72766116;77691751;88100105;93719715;93827734;108085014;118836111;118970595;118994655;129030572;3663911;3665259;8877518;8943467;13686658;33004345;33171490;33196637;47726992;47820289;70705269;75835323;75837645;76404252;108229604;6234455;7784511;7800467;7850818;31506404;32396147;32705506;33982566;38274549;44880969;49132947;50940026;51156977;54099302;60341941;92170453;93460826;96979629;100257790;113156861;113178519;114658062;120504659;123349100;127619447;7976360;8592585;17711046;27752986;42454821;48810016;50743684;62935802;70907018;88430550;93021712;95275872;95617786;101446932;104851918;107650892;108738604;112069209;112149472;122768200;130906949;133238549;28629883;20679512;22867917;31244861;38987383;50087083;55651634;58441992;63621871;67340176;88840263;90177330;99583118;102695495;22852728;28901347;31258709;49592337;49839493;50468498;51254023;63848362;66177635;67617415;69143953;72022516;72853331;73858165;73906427;77821142;89650903;93397234;103725825;30355540;30673843;33722596;34314828;43247781;44843724;45592085;50221996;51884653;52162852;59409015;64652989;65502836;66348375;69406552;100638457;32175351;37050930;39922886;43864005;44697430;45047215;48325671;48996022;49137863;56634167;64111569;64445243;74983376;90977305;99681877;178656;2131950;11315178;14275600;15150796;18398036;30471703;66550567;69191223;439397;14915556;16314211;27722392;30454097;47313121;58083168;68089543;68474664;68885677;74463988;86275523;4186424;17460522;28834822;36285413;38089500;45071543;47557514;48479198;50696760;59260846;62036945;62122421;69986094;75145762;75432087;76319473;77442213;81573602;82417321;7266166;7537196;19649587;30344604;32463482;32830329;38231144;40391338;46215171;49416850;50386246;60749046;61874182;62661725;64390263;67408881;75089974;2621201;2779057;9250211;12760818;21724229;23024703;23456467;24429609;31382430;62330913;8720132;9249746;23582121;32263234;34001799;49871666;50959379;56753326;78544188;6573057;12088346;36203459;36858329;40339164;52259187;56316636;11408880;38294636;40342441;46736419;49566772;56105510;450762;5964650;25214798;29575171;44344933;45004454;50563110;53544725;57311958;2453117;5114083;16670742;18113579;23457685;30309126;34384265;34526606;35853364;36668670;43451260;49920694;5597490;6366055;7092716;7474494;17576906;39344628;6223580;7664011;17527247;23432282;29139384;36986851;19045367;20481268;28303850;29758859;37013319;41045591;41747413;50669901;31230172;36440970;41065646;41648190;42762959;3641555;9874701;11116193;12054926;16912317;18396095;19985159;27252235;50171297;71491167;72285045;96701619;107901246;108677057;109744749;115139123;117914345;118569515;123857163;134142340;136571815;136816574;10061323;12149238;19376875;21872808;23782310;40492941;41316589;44401704;53324674;55582834;68361187;86019715;94178106;106426669;107202683;112661768;7341642	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	79632	1166	791	783	824	876	616
"ERRFI1"	chr1	8004403	8026308	-	21906	78	24	42	38	36	13
"RP11-431K24.1"	chr1	8026737	8122702	+	95966	851	571	487	468	514	487
"CTA-215D11.4"	chr1	8057244	8058463	-	1220	20	17	14	11	13	6
"RP11-431K24.2"	chr1	8189823	8192770	+	2948	22	20	10	19	17	10
"LINC01714"	chr1	8202428	8215210	+	12783	108	71	59	62	59	52
"RNU1-7P"	chr1	8206433	8206597	-	165	0	2	1	1	2	2
"RP11-431K24.4"	chr1	8218189	8220529	-	2341	23	11	13	15	8	4
"RNU6-991P"	chr1	8292156	8292263	-	108	0	1	0	1	0	0
"SLC45A1"	chr1	8317825	8344167	+	26343	266	167	179	183	183	131
"RERE"	chr1	8352396	8817643	-	465248	3143	1726	1757	1749	1742	1361
"RP5-1115A15.1"	chr1	8424644	8434838	+	10195	74	45	48	46	40	29
"SNORA77"	chr1;chr1;chr2;chr22	8511794;203729580;183064234;20126401	8511919;203729705;183064346;20126526	-;+;-;+	491	5	1	5	5	2	1
"RP5-1115A15.2"	chr1	8512652	8513021	+	370	5	2	4	8	4	1
"RPL7P11"	chr1	8750429	8751087	+	659	8	5	3	7	8	4
"RPL7P7"	chr1	8786210	8786913	-	704	6	7	5	3	2	2
"RP4-633I8.3"	chr1	8798474	8799506	+	1033	15	9	4	5	9	1
"RP4-633I8.4"	chr1	8805859	8807051	-	1193	8	9	6	7	7	6
"RPL23AP19"	chr1	8831006	8831375	+	370	5	4	3	3	3	7
"ENO1"	chr1	8861001	8879249	-	18249	45	26	18	20	25	12
"MIR6728"	chr1	8866501	8866590	-	90	0	0	0	0	0	0
"ENO1-IT1"	chr1	8875787	8878007	-	2221	8	5	1	3	7	1
"ENO1-AS1"	chr1	8878834	8879894	+	1061	3	1	0	3	0	1
"RNU6-304P"	chr1	8883426	8883533	-	108	0	2	0	0	0	0
"HMGN2P17"	chr1	8893408	8894151	+	744	7	7	4	5	4	5
"RP3-477M7.5"	chr1	8907392	8907744	-	353	1	1	1	0	1	1
"RP3-477M7.6"	chr1	8909741	8909904	+	164	3	4	3	4	1	2
"CA6"	chr1	8945866	8975092	+	29227	394	213	248	223	281	156
"RN7SL451P"	chr1	8979575	8979874	-	300	4	0	1	1	1	1
"SLC2A7"	chr1	9003299	9026345	-	23047	269	93	154	112	140	109
"SLC2A5"	chr1	9035106	9088478	-	53373	541	291	312	276	331	225
"SCARNA16"	chr1;chr1;chr2;chr2;chr11;chr17	9082695;101133152;53470446;196686147;12904816;77089306	9082879;101133339;53470629;196686330;12904988;77089493	+;+;-;-;-;+	1102	13	10	8	7	9	7
"GPR157"	chr1	9100304	9129170	-	28867	152	73	63	69	76	50
"MIR34AHG"	chr1	9148010	9196983	-	48974	288	154	164	143	153	103
"MIR34A"	chr1	9151667	9151777	-	111	1	0	0	0	0	0
"LINC01759"	chr1	9182003	9196284	+	14282	101	56	52	49	59	35
"RP3-510D11.4"	chr1	9197142	9198906	-	1765	7	0	3	3	0	0
"H6PD"	chr1	9234774	9271337	+	36564	165	100	92	93	89	93
"SPSB1"	chr1	9292879	9369532	+	76654	468	264	260	234	259	189
"RNA5SP40"	chr1	9437668	9437778	-	111	0	0	0	0	2	1
"RP13-392I16.1"	chr1	9501091	9503471	-	2381	20	12	14	13	14	9
"SLC25A33"	chr1	9539481	9585179	+	45699	243	121	147	139	127	95
"RP13-15M17.1"	chr1	9576426	9576985	+	560	2	2	0	4	0	0
"TMEM201"	chr1	9588921	9614873	+	25953	84	31	32	31	20	16
"PIK3CD"	chr1	9651731	9729114	+	77384	610	328	378	282	366	250
"PIK3CD-AS1"	chr1	9652609	9654586	-	1978	12	5	4	7	4	4
"RP11-558F24.2"	chr1	9660827	9662626	-	1800	10	6	10	7	14	6
"PIK3CD-AS2"	chr1	9672425	9687555	-	15131	146	92	103	88	96	70
"CLSTN1"	chr1	9729025	9824526	-	95502	574	264	321	261	269	174
"MZT1P1"	chr1	9780821	9781240	+	420	1	0	0	0	3	0
"RP11-84A14.7"	chr1	9826288	9828271	-	1984	18	11	12	14	11	1
"CTNNBIP1"	chr1	9848275	9910336	-	62062	377	150	193	201	156	122
"RP11-84A14.5"	chr1	9848317	9850154	+	1838	13	4	2	7	2	1
"LZIC"	chr1	9922112	9943407	-	21296	125	58	64	59	64	41
"RP11-84A14.4"	chr1	9942922	9949974	+	7053	42	17	15	23	13	18
"NMNAT1"	chr1	9943427	9985501	+	42075	344	194	237	195	189	152
"RN7SKP269"	chr1	9947317	9947636	+	320	6	1	2	0	3	2
"RP11-84A14.6"	chr1	9951230	9960832	-	9603	72	47	48	34	29	34
"MIR5697"	chr1	9967380	9967458	+	79	0	0	1	0	0	0
"RP11-807G9.2"	chr1	9983140	9984568	+	1429	10	4	4	5	3	1
"RBP7"	chr1	9997205	10016020	+	18816	184	98	112	106	97	78
"UBE4B"	chr1	10032831	10181239	+	148409	1073	559	581	557	578	412
"RP11-496H15.2"	chr1	10054444	10054781	-	338	6	1	3	0	2	1
"PGAM1P11"	chr1	10058670	10059648	+	979	13	7	10	11	7	5
"RNU6-828P"	chr1	10163267	10163374	+	108	0	0	0	0	0	0
"KIF1B"	chr1	10210804	10381603	+	170800	1181	636	708	734	694	537
"MIR1273D"	chr1	10227717	10227803	+	87	3	2	0	2	0	0
"RNU6-37P"	chr1	10298965	10299072	+	108	3	0	0	0	1	0
"RN7SL731P"	chr1	10306464	10306757	+	294	3	0	2	0	2	2
"PGD"	chr1	10398591	10420144	+	21554	95	58	48	38	35	30
"RP4-736L20.3"	chr1	10429880	10430677	-	798	0	1	0	1	0	0
"APITD1-CORT"	chr1	10430101	10452153	+	22053	98	43	55	42	51	32
"CENPS"	chr1	10430442	10442809	+	12368	51	26	29	22	25	16
"CORT"	chr1	10449718	10451902	+	2185	8	4	5	7	3	4
"DFFA"	chr1	10456521	10472526	-	16006	86	34	28	48	36	30
"RP5-1113E3.3"	chr1	10458554	10459338	+	785	6	1	1	4	2	4
"PEX14"	chr1	10472287	10630758	+	158472	884	489	518	506	488	400
"RN7SL614P"	chr1	10616835	10617115	+	281	4	1	3	3	0	1
"CASZ1"	chr1	10636603	10796650	-	160048	594	271	310	293	240	195
